Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration
Basic,11,13-10-22,27-06-23,Germany,36,Male,Laptop,1 Month
Premium,12,17-10-22,29-06-23,France,41,Male,Smart TV,1 Month
Basic,13,23-10-22,25-06-23,Brazil,32,Male,Laptop,1 Month
Standard,13,24-10-22,28-06-23,Mexico,28,Male,Smartphone,1 Month
Premium,12,25-10-22,27-06-23,Spain,46,Female,Smartphone,1 Month
Basic,11,22-10-22,29-06-23,Italy,46,Female,Smartphone,1 Month
Basic,11,30-09-22,25-06-23,United States,47,Male,Tablet,1 Month
Basic,11,6/9/2022,27-06-23,Canada,31,Female,Tablet,1 Month
Standard,10,18-06-22,26-06-23,United Kingdom,44,Female,Tablet,1 Month
Premium,10,12/6/2022,28-06-23,Australia,39,Female,Laptop,1 Month
Basic,14,17-06-22,28-06-23,Germany,44,Female,Laptop,1 Month
Basic,12,20-06-22,27-06-23,France,39,Female,Smartphone,1 Month
Premium,12,27-08-22,28-06-23,Brazil,37,Male,Laptop,1 Month
Standard,14,13-08-22,27-06-23,Mexico,47,Female,Laptop,1 Month
Standard,10,12/8/2022,28-06-23,Spain,46,Female,Smart TV,1 Month
Basic,15,5/8/2022,27-06-23,Italy,27,Female,Smart TV,1 Month
Premium,10,14-07-22,27-06-23,United States,43,Female,Laptop,1 Month
Standard,10,7/6/2022,26-06-23,Canada,51,Male,Smart TV,1 Month
Basic,10,1/6/2022,27-06-23,United Kingdom,49,Male,Smart TV,1 Month
Standard,10,19-05-22,28-06-23,Australia,35,Female,Smartphone,1 Month
Premium,15,22-05-22,27-06-23,Germany,44,Male,Smartphone,1 Month
Basic,14,11/7/2022,26-06-23,France,48,Male,Tablet,1 Month
Premium,11,19-07-22,28-06-23,Brazil,39,Female,Tablet,1 Month
Standard,12,21-07-22,28-06-23,Mexico,38,Male,Laptop,1 Month
Basic,14,2/8/2022,26-06-23,Spain,45,Male,Smart TV,1 Month
Standard,13,3/7/2022,28-06-23,Italy,43,Female,Laptop,1 Month
Premium,13,23-06-22,27-06-23,United States,42,Male,Laptop,1 Month
Basic,15,3/6/2022,28-06-23,Canada,28,Male,Smart TV,1 Month
Standard,10,3/6/2022,26-06-23,United Kingdom,40,Male,Tablet,1 Month
Premium,14,30-05-22,27-06-23,Australia,41,Female,Tablet,1 Month
Basic,12,5/6/2022,26-06-23,Germany,45,Female,Laptop,1 Month
Premium,14,10/6/2022,27-06-23,France,30,Female,Smartphone,1 Month
Basic,11,14-07-22,26-06-23,Brazil,31,Female,Smartphone,1 Month
Standard,13,15-07-22,27-06-23,Mexico,51,Female,Tablet,1 Month
Standard,12,14-07-22,25-06-23,Spain,44,Female,Smartphone,1 Month
Basic,14,13-07-22,27-06-23,Italy,49,Male,Laptop,1 Month
Premium,12,17-07-22,26-06-23,United States,47,Female,Laptop,1 Month
Basic,14,21-07-22,26-06-23,Canada,42,Male,Smartphone,1 Month
Standard,13,23-07-22,28-06-23,United Kingdom,28,Male,Smartphone,1 Month
Premium,13,1/8/2022,28-06-23,Australia,28,Male,Smartphone,1 Month
Basic,13,6/8/2022,26-06-23,Germany,49,Female,Tablet,1 Month
Premium,12,19-08-22,26-06-23,France,32,Female,Smartphone,1 Month
Basic,12,26-08-22,27-06-23,Brazil,37,Female,Tablet,1 Month
Standard,13,27-09-22,27-06-23,Mexico,37,Female,Tablet,1 Month
Standard,14,15-09-22,25-06-23,Spain,37,Male,Smartphone,1 Month
Basic,15,2/9/2022,25-06-23,Italy,37,Male,Smart TV,1 Month
Premium,14,3/9/2022,26-06-23,United States,48,Female,Tablet,1 Month
Basic,12,3/9/2022,26-06-23,Canada,47,Male,Laptop,1 Month
Standard,13,24-08-22,26-06-23,United Kingdom,41,Female,Smartphone,1 Month
Premium,14,21-08-22,27-06-23,Australia,47,Female,Laptop,1 Month
Basic,13,23-08-22,25-06-23,Germany,39,Female,Smartphone,1 Month
Premium,10,2/9/2022,26-06-23,France,28,Male,Tablet,1 Month
Basic,14,21-09-22,29-06-23,Brazil,31,Male,Smart TV,1 Month
Standard,14,21-10-22,27-06-23,Mexico,47,Female,Smart TV,1 Month
Standard,11,30-10-22,27-06-23,Spain,27,Female,Laptop,1 Month
Basic,10,2/11/2022,28-06-23,Italy,28,Male,Laptop,1 Month
Premium,14,16-10-22,28-06-23,United States,33,Male,Tablet,1 Month
Basic,14,15-09-22,29-06-23,Canada,29,Female,Tablet,1 Month
Standard,15,12/9/2022,27-06-23,United Kingdom,41,Male,Smartphone,1 Month
Premium,12,18-09-22,29-06-23,Australia,28,Female,Tablet,1 Month
Basic,13,4/10/2022,27-06-23,Germany,38,Male,Tablet,1 Month
Premium,15,5/10/2022,30-06-23,France,35,Male,Laptop,1 Month
Basic,11,6/11/2022,26-06-23,Brazil,51,Male,Smart TV,1 Month
Standard,12,17-11-22,28-06-23,Mexico,45,Male,Smartphone,1 Month
Standard,14,18-11-22,26-06-23,Spain,51,Male,Laptop,1 Month
Basic,14,22-11-22,30-06-23,Italy,46,Female,Smart TV,1 Month
Premium,15,4/12/2022,28-06-23,United States,28,Male,Smart TV,1 Month
Basic,12,19-11-22,30-06-23,Canada,46,Female,Smart TV,1 Month
Standard,11,6/11/2022,25-06-23,United Kingdom,46,Female,Smartphone,1 Month
Premium,12,15-10-22,29-06-23,Australia,32,Female,Laptop,1 Month
Basic,11,17-10-22,28-06-23,Germany,39,Female,Smart TV,1 Month
Premium,11,19-10-22,29-06-23,France,41,Female,Smartphone,1 Month
Basic,13,23-10-22,25-06-23,Brazil,47,Male,Smart TV,1 Month
Standard,12,24-10-22,28-06-23,Mexico,35,Male,Smart TV,1 Month
Standard,12,23-10-22,27-06-23,Spain,37,Female,Smart TV,1 Month
Basic,11,10/10/2022,29-06-23,Italy,47,Male,Tablet,1 Month
Premium,13,5/10/2022,28-06-23,United States,48,Female,Laptop,1 Month
Basic,12,1/7/2022,27-06-23,Canada,30,Female,Laptop,1 Month
Standard,10,1/7/2022,27-06-23,United Kingdom,36,Male,Smart TV,1 Month
Premium,10,25-06-22,28-06-23,Australia,50,Female,Smartphone,1 Month
Basic,12,24-06-22,28-06-23,Germany,41,Male,Tablet,1 Month
Basic,14,28-06-22,28-06-23,France,46,Female,Smartphone,1 Month
Basic,15,11/8/2022,28-06-23,Brazil,36,Female,Laptop,1 Month
Standard,14,12/8/2022,27-06-23,Mexico,48,Male,Tablet,1 Month
Premium,10,7/8/2022,28-06-23,Spain,37,Female,Laptop,1 Month
Basic,14,6/8/2022,27-06-23,Italy,49,Male,Laptop,1 Month
Basic,12,18-07-22,28-06-23,United States,31,Female,Laptop,1 Month
Premium,12,16-06-22,26-06-23,Canada,42,Female,Laptop,1 Month
Standard,11,30-05-22,28-06-23,United Kingdom,45,Female,Tablet,1 Month
Standard,15,28-05-22,28-06-23,Australia,51,Female,Tablet,1 Month
Basic,11,31-05-22,27-06-23,Germany,31,Female,Smart TV,1 Month
Premium,14,4/6/2022,27-06-23,France,41,Male,Tablet,1 Month
Standard,14,29-06-22,28-06-23,Brazil,40,Male,Smart TV,1 Month
Basic,10,24-07-22,28-06-23,Mexico,27,Male,Tablet,1 Month
Standard,10,19-07-22,27-06-23,Spain,46,Female,Tablet,1 Month
Premium,10,30-06-22,28-06-23,Italy,30,Female,Smart TV,1 Month
Basic,11,16-06-22,27-06-23,United States,37,Male,Smart TV,1 Month
Premium,15,10/6/2022,28-06-23,Canada,45,Male,Smartphone,1 Month
Standard,11,1/6/2022,26-06-23,United Kingdom,40,Male,Smart TV,1 Month
Basic,13,3/6/2022,28-06-23,Australia,45,Male,Laptop,1 Month
Standard,11,5/6/2022,26-06-23,Germany,34,Male,Laptop,1 Month
Premium,10,7/6/2022,27-06-23,France,33,Male,Laptop,1 Month
Basic,10,22-06-22,26-06-23,Brazil,47,Female,Laptop,1 Month
Standard,11,28-06-22,27-06-23,Mexico,32,Male,Smart TV,1 Month
Premium,12,29-06-22,29-06-23,Spain,41,Female,Tablet,1 Month
Basic,15,3/7/2022,28-06-23,Italy,31,Female,Tablet,1 Month
Premium,15,8/7/2022,27-06-23,United States,43,Male,Tablet,1 Month
Basic,10,13-07-22,27-06-23,Canada,32,Female,Tablet,1 Month
Standard,10,27-07-22,28-06-23,United Kingdom,46,Female,Smartphone,1 Month
Standard,14,30-07-22,28-06-23,Australia,38,Male,Smartphone,1 Month
Basic,11,13-08-22,26-06-23,Germany,31,Female,Smart TV,1 Month
Premium,14,18-08-22,26-06-23,France,31,Female,Laptop,1 Month
Basic,10,24-08-22,27-06-23,Brazil,50,Male,Laptop,1 Month
Standard,10,8/9/2022,27-06-23,Mexico,32,Male,Laptop,1 Month
Premium,13,4/9/2022,27-06-23,Spain,38,Female,Smartphone,1 Month
Basic,15,4/9/2022,27-06-23,Italy,37,Female,Laptop,1 Month
Premium,12,4/9/2022,26-06-23,United States,36,Male,Smart TV,1 Month
Basic,11,27-08-22,27-06-23,Canada,30,Male,Smart TV,1 Month
Standard,14,25-08-22,27-06-23,United Kingdom,28,Male,Smart TV,1 Month
Standard,13,25-08-22,28-06-23,Australia,40,Male,Smartphone,1 Month
Basic,14,1/9/2022,28-06-23,Germany,28,Female,Tablet,1 Month
Premium,15,13-09-22,26-06-23,France,37,Female,Laptop,1 Month
Basic,15,5/10/2022,29-06-23,Brazil,30,Male,Smart TV,1 Month
Standard,11,8/10/2022,28-06-23,Mexico,33,Female,Smart TV,1 Month
Premium,11,26-10-22,28-06-23,Spain,49,Male,Tablet,1 Month
Basic,12,18-10-22,29-06-23,Italy,36,Female,Smart TV,1 Month
Premium,12,7/10/2022,28-06-23,United States,28,Female,Smartphone,1 Month
Basic,10,17-09-22,30-06-23,Canada,51,Male,Tablet,1 Month
Standard,11,18-09-22,27-06-23,United Kingdom,35,Female,Smartphone,1 Month
Standard,14,27-09-22,29-06-23,Australia,31,Male,Smart TV,1 Month
Basic,13,30-09-22,27-06-23,Germany,39,Male,Smartphone,1 Month
Premium,10,30-10-22,30-06-23,France,51,Female,Laptop,1 Month
Basic,11,9/11/2022,29-06-23,Brazil,44,Male,Smartphone,1 Month
Standard,11,17-11-22,28-06-23,Mexico,41,Female,Smartphone,1 Month
Premium,10,18-11-22,26-06-23,Spain,28,Female,Laptop,1 Month
Basic,15,22-11-22,30-06-23,Italy,38,Male,Laptop,1 Month
Premium,14,22-11-22,28-06-23,Spain,43,Male,Smartphone,1 Month
Basic,13,21-11-22,30-06-23,Spain,38,Male,Smartphone,1 Month
Standard,14,10/11/2022,26-06-23,United States,30,Male,Tablet,1 Month
Standard,12,21-10-22,29-06-23,Canada,32,Female,Laptop,1 Month
Basic,11,21-10-22,28-06-23,United States,35,Male,Smartphone,1 Month
Premium,14,23-10-22,29-06-23,United States,27,Male,Smart TV,1 Month
Basic,15,24-10-22,26-06-23,Canada,49,Female,Tablet,1 Month
Standard,12,23-10-22,28-06-23,United Kingdom,42,Female,Tablet,1 Month
Premium,10,21-10-22,28-06-23,Australia,40,Male,Smartphone,1 Month
Basic,15,6/10/2022,29-06-23,Germany,43,Female,Tablet,1 Month
Premium,11,26-07-22,28-06-23,France,44,Female,Smart TV,1 Month
Basic,15,13-07-22,28-06-23,Brazil,32,Male,Tablet,1 Month
Standard,10,6/7/2022,28-06-23,Mexico,50,Male,Tablet,1 Month
Standard,14,7/7/2022,28-06-23,Spain,35,Male,Tablet,1 Month
Basic,15,1/7/2022,29-06-23,Italy,44,Female,Laptop,1 Month
Premium,14,31-07-22,28-06-23,Spain,42,Female,Smart TV,1 Month
Basic,12,6/8/2022,28-06-23,Spain,34,Female,Smart TV,1 Month
Standard,15,7/8/2022,27-06-23,United States,37,Female,Tablet,1 Month
Premium,10,6/8/2022,28-06-23,Canada,43,Male,Smartphone,1 Month
Basic,13,3/8/2022,28-06-23,United States,32,Male,Smart TV,1 Month
Basic,15,18-06-22,28-06-23,United States,33,Female,Smart TV,1 Month
Basic,14,17-06-22,27-06-23,Canada,32,Female,Tablet,1 Month
Standard,13,7/6/2022,29-06-23,United Kingdom,41,Male,Smartphone,1 Month
Premium,15,6/6/2022,28-06-23,Australia,31,Male,Tablet,1 Month
Basic,14,4/6/2022,27-06-23,Germany,44,Male,Tablet,1 Month
Basic,11,20-06-22,28-06-23,France,49,Male,Laptop,1 Month
Premium,10,10/7/2022,28-06-23,Brazil,48,Female,Tablet,1 Month
Standard,13,13-07-22,29-06-23,Mexico,42,Female,Smartphone,1 Month
Standard,11,7/7/2022,27-06-23,Spain,50,Female,Laptop,1 Month
Basic,14,22-06-22,28-06-23,Italy,49,Female,Smart TV,1 Month
Premium,14,15-06-22,27-06-23,Spain,30,Female,Laptop,1 Month
Standard,11,3/6/2022,28-06-23,Spain,38,Male,Laptop,1 Month
Basic,14,4/6/2022,27-06-23,United States,38,Male,Smartphone,1 Month
Standard,11,5/6/2022,28-06-23,Canada,39,Female,Smart TV,1 Month
Premium,15,7/6/2022,29-06-23,United States,42,Female,Laptop,1 Month
Basic,10,14-06-22,29-06-23,United States,28,Male,Smart TV,1 Month
Premium,10,17-06-22,27-06-23,Canada,38,Male,Smartphone,1 Month
Standard,14,19-06-22,28-06-23,United Kingdom,40,Female,Tablet,1 Month
Basic,12,2/7/2022,29-06-23,Australia,30,Female,Tablet,1 Month
Standard,10,3/7/2022,29-06-23,Germany,40,Male,Smartphone,1 Month
Premium,10,13-07-22,27-06-23,France,31,Male,Smart TV,1 Month
Basic,14,26-07-22,27-06-23,Brazil,41,Male,Smartphone,1 Month
Standard,11,27-07-22,28-06-23,Mexico,37,Male,Smartphone,1 Month
Premium,14,8/8/2022,28-06-23,Spain,49,Male,Tablet,1 Month
Basic,14,17-08-22,27-06-23,Italy,29,Male,Smart TV,1 Month
Premium,10,20-08-22,26-06-23,Spain,31,Male,Smart TV,1 Month
Basic,10,5/9/2022,27-06-23,Spain,39,Male,Tablet,1 Month
Standard,12,5/9/2022,27-06-23,United States,51,Female,Smartphone,1 Month
Standard,10,5/9/2022,27-06-23,Canada,38,Female,Smartphone,1 Month
Basic,11,6/9/2022,27-06-23,United States,29,Female,Tablet,1 Month
Premium,13,3/9/2022,28-06-23,United States,41,Female,Laptop,1 Month
Basic,13,29-08-22,27-06-23,Canada,48,Female,Tablet,1 Month
Standard,14,27-08-22,28-06-23,United Kingdom,39,Male,Smart TV,1 Month
Premium,12,29-08-22,29-06-23,Australia,37,Male,Smartphone,1 Month
Basic,11,13-09-22,28-06-23,Germany,37,Female,Smartphone,1 Month
Premium,14,24-09-22,27-06-23,France,34,Male,Smartphone,1 Month
Basic,15,5/10/2022,29-06-23,Brazil,37,Male,Smartphone,1 Month
Standard,14,18-10-22,30-06-23,Mexico,37,Female,Smart TV,1 Month
Standard,13,19-10-22,28-06-23,Spain,51,Female,Tablet,1 Month
Basic,15,14-10-22,29-06-23,Italy,45,Male,Laptop,1 Month
Premium,14,30-09-22,28-06-23,Spain,29,Female,Laptop,1 Month
Basic,14,19-09-22,30-06-23,Spain,37,Male,Laptop,1 Month
Standard,10,24-09-22,29-06-23,United States,34,Male,Tablet,1 Month
Premium,14,28-09-22,29-06-23,Canada,35,Male,Smartphone,1 Month
Basic,12,29-09-22,27-06-23,United States,29,Male,Laptop,1 Month
Premium,11,11/10/2022,1/7/2023,United States,45,Male,Tablet,1 Month
Basic,14,8/11/2022,29-06-23,Canada,36,Male,Smart TV,1 Month
Standard,11,16-11-22,28-06-23,United Kingdom,27,Female,Laptop,1 Month
Standard,10,17-11-22,26-06-23,Australia,31,Female,Laptop,1 Month
Basic,10,20-11-22,30-06-23,Germany,41,Female,Laptop,1 Month
Premium,13,21-11-22,29-06-23,France,37,Male,Smart TV,1 Month
Basic,12,21-11-22,30-06-23,Brazil,49,Female,Tablet,1 Month
Standard,12,18-11-22,27-06-23,Mexico,37,Female,Smart TV,1 Month
Premium,14,26-10-22,29-06-23,Spain,36,Female,Smartphone,1 Month
Basic,13,25-10-22,28-06-23,Italy,38,Female,Smart TV,1 Month
Premium,15,26-10-22,30-06-23,Spain,49,Female,Tablet,1 Month
Basic,15,23-10-22,26-06-23,Spain,31,Male,Laptop,1 Month
Standard,13,23-10-22,28-06-23,United States,29,Female,Laptop,1 Month
Standard,12,16-10-22,28-06-23,Canada,35,Female,Tablet,1 Month
Basic,14,9/8/2022,29-06-23,United States,46,Female,Tablet,1 Month
Premium,10,2/8/2022,29-06-23,United States,29,Female,Laptop,1 Month
Basic,12,16-07-22,28-06-23,Canada,43,Female,Laptop,1 Month
Standard,15,17-07-22,28-06-23,United Kingdom,38,Female,Tablet,1 Month
Premium,14,14-07-22,28-06-23,Australia,48,Female,Smart TV,1 Month
Basic,14,16-07-22,29-06-23,Germany,41,Male,Laptop,1 Month
Premium,15,6/8/2022,29-06-23,France,51,Female,Laptop,1 Month
Basic,14,7/8/2022,28-06-23,Brazil,39,Male,Smart TV,1 Month
Standard,11,7/8/2022,27-06-23,Mexico,31,Male,Smartphone,1 Month
Standard,15,4/8/2022,29-06-23,Spain,28,Male,Laptop,1 Month
Basic,15,29-07-22,29-06-23,Italy,47,Male,Laptop,1 Month
Premium,14,19-06-22,28-06-23,Spain,35,Female,Smart TV,1 Month
Basic,15,9/6/2022,29-06-23,Spain,33,Male,Smartphone,1 Month
Standard,11,6/6/2022,29-06-23,United States,41,Male,Smartphone,1 Month
Premium,12,6/6/2022,30-06-23,Canada,38,Female,Smart TV,1 Month
Basic,10,11/6/2022,28-06-23,United States,49,Male,Laptop,1 Month
Basic,14,18-06-22,28-06-23,United States,29,Female,Smart TV,1 Month
Basic,13,27-06-22,28-06-23,Canada,50,Male,Laptop,1 Month
Standard,12,5/7/2022,29-06-23,United Kingdom,29,Female,Tablet,1 Month
Premium,15,6/7/2022,27-06-23,Australia,44,Male,Smart TV,1 Month
Basic,14,16-06-22,29-06-23,Germany,36,Female,Smart TV,1 Month
Basic,14,5/6/2022,30-06-23,France,46,Female,Smart TV,1 Month
Premium,14,5/6/2022,29-06-23,Brazil,30,Male,Smartphone,1 Month
Standard,15,6/6/2022,27-06-23,Mexico,46,Female,Tablet,1 Month
Standard,15,7/6/2022,28-06-23,Spain,33,Male,Smartphone,1 Month
Basic,15,10/6/2022,29-06-23,Italy,46,Female,Tablet,1 Month
Premium,14,13-06-22,29-06-23,Spain,50,Male,Tablet,1 Month
Standard,14,14-06-22,27-06-23,Spain,27,Female,Smart TV,1 Month
Basic,12,22-06-22,28-06-23,United States,48,Female,Smart TV,1 Month
Standard,14,3/7/2022,29-06-23,Canada,50,Female,Smartphone,1 Month
Premium,13,5/7/2022,29-06-23,United States,28,Female,Tablet,1 Month
Basic,15,11/7/2022,28-06-23,United States,29,Female,Smartphone,1 Month
Premium,11,17-07-22,27-06-23,Canada,36,Male,Smart TV,1 Month
Standard,12,27-07-22,28-06-23,United Kingdom,51,Male,Laptop,1 Month
Basic,15,14-08-22,28-06-23,Australia,51,Male,Smartphone,1 Month
Standard,13,15-08-22,27-06-23,Germany,43,Male,Smart TV,1 Month
Premium,14,2/9/2022,27-06-23,France,38,Female,Laptop,1 Month
Basic,11,5/9/2022,28-06-23,Brazil,45,Female,Smartphone,1 Month
Standard,10,6/9/2022,28-06-23,Mexico,28,Female,Smart TV,1 Month
Premium,11,6/9/2022,29-06-23,Spain,27,Male,Smartphone,1 Month
Basic,11,5/9/2022,27-06-23,Italy,41,Female,Smartphone,1 Month
Premium,14,6/9/2022,29-06-23,Spain,49,Male,Smart TV,1 Month
Basic,12,29-08-22,28-06-23,Spain,35,Male,Smartphone,1 Month
Standard,13,30-08-22,28-06-23,United States,29,Female,Smart TV,1 Month
Standard,10,2/9/2022,30-06-23,Canada,42,Male,Smartphone,1 Month
Basic,15,20-09-22,28-06-23,United States,33,Male,Tablet,1 Month
Premium,10,23-09-22,30-06-23,United States,30,Male,Laptop,1 Month
Basic,11,29-09-22,29-06-23,Canada,43,Female,Smart TV,1 Month
Standard,10,9/10/2022,1/7/2023,United Kingdom,42,Male,Smartphone,1 Month
Premium,11,12/10/2022,29-06-23,Australia,39,Male,Tablet,1 Month
Basic,15,6/10/2022,30-06-23,Germany,32,Female,Smart TV,1 Month
Premium,14,21-09-22,28-06-23,France,31,Male,Smartphone,1 Month
Basic,13,23-09-22,1/7/2023,Brazil,39,Male,Smartphone,1 Month
Standard,12,28-09-22,29-06-23,Mexico,41,Female,Smartphone,1 Month
Standard,12,29-09-22,29-06-23,Spain,51,Female,Smart TV,1 Month
Basic,13,3/10/2022,27-06-23,Italy,29,Male,Laptop,1 Month
Premium,10,28-10-22,1/7/2023,Spain,33,Female,Smart TV,1 Month
Basic,12,14-11-22,29-06-23,Spain,51,Female,Tablet,1 Month
Standard,11,16-11-22,1/7/2023,United States,38,Male,Tablet,1 Month
Premium,10,17-11-22,28-06-23,Canada,37,Female,Laptop,1 Month
Basic,13,20-11-22,30-06-23,United States,50,Female,Laptop,1 Month
Premium,12,21-11-22,29-06-23,United States,33,Male,Tablet,1 Month
Basic,11,19-11-22,1/7/2023,Canada,27,Male,Laptop,1 Month
Standard,11,28-10-22,27-06-23,United Kingdom,50,Female,Smartphone,1 Month
Standard,15,27-10-22,29-06-23,Australia,47,Female,Laptop,1 Month
Basic,13,27-10-22,29-06-23,Germany,41,Male,Laptop,1 Month
Premium,10,27-10-22,30-06-23,France,49,Female,Laptop,1 Month
Basic,15,25-10-22,28-06-23,Brazil,32,Male,Smart TV,1 Month
Standard,10,17-10-22,28-06-23,Mexico,38,Female,Smartphone,1 Month
Premium,14,20-08-22,29-06-23,Spain,38,Female,Smartphone,1 Month
Basic,15,16-08-22,29-06-23,Italy,28,Female,Smart TV,1 Month
Premium,13,15-08-22,29-06-23,Spain,31,Male,Tablet,1 Month
Basic,14,15-08-22,29-06-23,Spain,39,Female,Smartphone,1 Month
Standard,11,29-07-22,29-06-23,United States,28,Female,Smartphone,1 Month
Standard,12,17-07-22,28-06-23,Canada,30,Female,Smartphone,1 Month
Basic,11,26-07-22,29-06-23,United States,42,Male,Tablet,1 Month
Premium,14,31-07-22,29-06-23,United States,33,Female,Laptop,1 Month
Basic,14,3/8/2022,29-06-23,Canada,34,Female,Smart TV,1 Month
Standard,13,4/8/2022,29-06-23,United Kingdom,49,Female,Smart TV,1 Month
Premium,13,3/8/2022,29-06-23,Australia,41,Male,Laptop,1 Month
Basic,12,27-06-22,29-06-23,Germany,28,Male,Smart TV,1 Month
Premium,14,27-06-22,28-06-23,France,49,Female,Laptop,1 Month
Basic,15,15-06-22,29-06-23,Brazil,49,Male,Tablet,1 Month
Standard,11,13-06-22,29-06-23,Mexico,36,Male,Tablet,1 Month
Standard,11,12/6/2022,30-06-23,Spain,31,Male,Smart TV,1 Month
Basic,10,18-06-22,28-06-23,Italy,38,Male,Smartphone,1 Month
Premium,15,26-06-22,29-06-23,Spain,34,Female,Tablet,1 Month
Basic,11,30-06-22,30-06-23,Spain,51,Female,Smartphone,1 Month
Standard,13,3/7/2022,30-06-23,United States,49,Male,Smart TV,1 Month
Premium,13,19-06-22,28-06-23,Canada,27,Female,Tablet,1 Month
Basic,10,8/6/2022,29-06-23,United States,38,Male,Smart TV,1 Month
Basic,10,8/6/2022,30-06-23,United States,51,Male,Tablet,1 Month
Basic,14,9/6/2022,30-06-23,Canada,47,Female,Tablet,1 Month
Standard,15,9/6/2022,27-06-23,United Kingdom,37,Male,Smartphone,1 Month
Premium,13,10/6/2022,28-06-23,Australia,37,Female,Laptop,1 Month
Basic,11,11/6/2022,29-06-23,Germany,39,Female,Tablet,1 Month
Basic,11,13-06-22,29-06-23,France,31,Male,Smartphone,1 Month
Premium,13,17-06-22,28-06-23,Brazil,36,Male,Smart TV,1 Month
Standard,15,27-06-22,28-06-23,Mexico,42,Female,Smart TV,1 Month
Standard,11,5/7/2022,29-06-23,Spain,49,Male,Laptop,1 Month
Basic,15,7/7/2022,29-06-23,Italy,44,Female,Laptop,1 Month
Premium,11,16-07-22,28-06-23,Spain,33,Male,Laptop,1 Month
Standard,11,23-07-22,27-06-23,Spain,42,Male,Tablet,1 Month
Basic,13,3/8/2022,29-06-23,United States,39,Male,Smartphone,1 Month
Standard,10,11/8/2022,29-06-23,Canada,49,Male,Smartphone,1 Month
Premium,12,15-08-22,30-06-23,United States,31,Male,Smartphone,1 Month
Basic,14,18-08-22,28-06-23,United States,37,Male,Tablet,1 Month
Premium,13,26-08-22,29-06-23,Canada,30,Female,Tablet,1 Month
Standard,10,3/9/2022,28-06-23,United Kingdom,42,Male,Smartphone,1 Month
Basic,15,4/9/2022,29-06-23,Australia,37,Female,Smart TV,1 Month
Standard,15,5/9/2022,30-06-23,Germany,36,Male,Laptop,1 Month
Premium,11,1/9/2022,29-06-23,France,28,Female,Laptop,1 Month
Basic,15,31-08-22,30-06-23,Brazil,36,Male,Tablet,1 Month
Standard,14,1/9/2022,29-06-23,Mexico,31,Female,Tablet,1 Month
Premium,14,17-09-22,1/7/2023,Spain,46,Male,Smart TV,1 Month
Basic,13,21-09-22,28-06-23,Italy,28,Male,Laptop,1 Month
Premium,15,29-09-22,1/7/2023,Spain,31,Male,Tablet,1 Month
Basic,12,6/10/2022,29-06-23,Spain,43,Male,Smart TV,1 Month
Standard,10,12/10/2022,2/7/2023,United States,28,Male,Laptop,1 Month
Standard,13,7/10/2022,30-06-23,Canada,32,Female,Smartphone,1 Month
Basic,12,4/10/2022,30-06-23,United States,31,Female,Laptop,1 Month
Premium,11,24-09-22,28-06-23,United States,45,Male,Smart TV,1 Month
Basic,14,25-09-22,1/7/2023,Canada,36,Male,Smartphone,1 Month
Standard,14,27-09-22,30-06-23,United Kingdom,35,Male,Laptop,1 Month
Premium,13,30-09-22,1/7/2023,Australia,27,Female,Tablet,1 Month
Basic,13,4/10/2022,28-06-23,Germany,32,Male,Laptop,1 Month
Premium,12,24-10-22,1/7/2023,France,46,Female,Smartphone,1 Month
Basic,12,28-10-22,30-06-23,Brazil,36,Male,Smart TV,1 Month
Standard,13,2/11/2022,1/7/2023,Mexico,39,Male,Laptop,1 Month
Standard,12,7/11/2022,28-06-23,Spain,48,Female,Smart TV,1 Month
Basic,10,10/11/2022,30-06-23,Italy,48,Female,Smart TV,1 Month
Premium,14,15-11-22,29-06-23,Spain,27,Female,Laptop,1 Month
Basic,13,8/11/2022,1/7/2023,Spain,45,Male,Tablet,1 Month
Standard,10,1/11/2022,27-06-23,United States,30,Male,Laptop,1 Month
Premium,15,30-10-22,29-06-23,Canada,29,Male,Tablet,1 Month
Basic,12,28-10-22,29-06-23,United States,43,Female,Laptop,1 Month
Premium,10,26-10-22,30-06-23,United States,43,Male,Laptop,1 Month
Basic,15,18-10-22,29-06-23,Canada,39,Female,Tablet,1 Month
Standard,14,30-09-22,30-06-23,United Kingdom,27,Male,Tablet,1 Month
Standard,10,3/9/2022,29-06-23,Australia,33,Female,Tablet,1 Month
Basic,10,23-08-22,29-06-23,Germany,32,Female,Tablet,1 Month
Premium,10,16-08-22,29-06-23,France,37,Female,Tablet,1 Month
Basic,13,11/8/2022,30-06-23,Brazil,45,Male,Smartphone,1 Month
Standard,10,1/8/2022,30-06-23,Mexico,40,Female,Smartphone,1 Month
Premium,14,1/8/2022,29-06-23,Spain,44,Male,Laptop,1 Month
Basic,12,1/8/2022,29-06-23,Italy,29,Female,Tablet,1 Month
Premium,14,2/8/2022,30-06-23,Spain,50,Male,Laptop,1 Month
Basic,11,4/8/2022,29-06-23,Spain,32,Female,Laptop,1 Month
Standard,14,4/8/2022,29-06-23,United States,39,Male,Laptop,1 Month
Standard,15,7/7/2022,30-06-23,Canada,43,Female,Smartphone,1 Month
Basic,12,27-06-22,30-06-23,United States,49,Female,Smartphone,1 Month
Premium,13,19-06-22,29-06-23,United States,30,Male,Tablet,1 Month
